name,role,course_id,section,title,level
Austin Rivera,Primary,DS2002,001,Data Science Systems,200
Heywood Williams-Tracy,TA,DS2002,001,Data Science Systems,200
Briana Morrison,Primary,CS2100,002,Data Structures and Algorithms 1,200
Charles Reiss,Primary,CS3130,001,Computer Systems and Organization 2,300
